Date,Sample,Trade_Signal,IOC,CAR_Z,Signal_Date,Signal_Sample,Signal_IOC,Signal_CAR_Z,Exit_Date,Crosses_Sample_Boundary,Status,Transaction_Cost,Forward_Return_5D,Strategy_Gross_Return,Strategy_Net_Return,MarketModel_Normal_5D,CAPM_Normal_5D,Abnormal_Strategy_MarketModel,Abnormal_Strategy_CAPM
2022-11-22,Train,1.0,44.39487331538871,-1.811492652691798,2022-11-21,Train,53.77774394223725,-1.6401160654375573,2022-11-29,False,Completed,0.002,0.07720263948789663,0.07720263948789663,0.07520263948789663,0.009023623547664839,0.008815857760869461,0.06617901594023179,0.06638678172702717
2023-04-24,Train,1.0,38.78546939028482,-1.7279844621206186,2023-04-21,Train,82.41760565769455,-1.4343387155972112,2023-04-28,False,Completed,0.002,-0.004664430966319855,-0.004664430966319855,-0.006664430966319855,0.020182911315290264,0.019906351844185766,-0.02684734228161012,-0.026570782810505622
2023-04-25,Train,1.0,18.433390498482257,-1.3789783851104465,2023-04-24,Train,38.78546939028482,-1.7279844621206186,2023-05-01,False,Completed,0.002,-0.004429413763061163,-0.004429413763061163,-0.006429413763061163,0.017146752535430743,0.01686904171109571,-0.023576166298491907,-0.023298455474156876
2023-07-06,Train,-1.0,0.0,0.7765691169420347,2023-07-05,Train,0.0,1.1845227196301364,2023-07-12,False,Completed,0.002,-0.037135444434901244,0.037135444434901244,0.03513544443490124,0.016279033184138925,0.01597366890494989,0.051414477619040166,0.05110911333985113
2023-07-26,Train,1.0,54.58332081314714,-1.2547193850544784,2023-07-25,Train,85.21077523779968,-1.336156389229492,2023-08-01,False,Completed,0.002,-0.015869991987525145,-0.015869991987525145,-0.017869991987525147,0.00959857872315717,0.009287049157952865,-0.027468570710682316,-0.02715704114547801
2023-07-27,Train,1.0,55.197682632101454,-0.4327333524737494,2023-07-26,Train,54.58332081314714,-1.2547193850544784,2023-08-02,False,Completed,0.002,-0.03873654343383748,-0.03873654343383748,-0.04073654343383748,-0.011595055053222003,-0.01191496737455211,-0.029141488380615477,-0.02882157605928537
2024-01-19,Train,1.0,42.884303843511454,-1.1737935054063642,2024-01-18,Train,59.72010356131941,-1.3179914827544663,2024-01-25,False,Completed,0.002,-0.13804983635042722,-0.13804983635042722,-0.14004983635042723,0.04306210917653197,0.04277021427499239,-0.1831119455269592,-0.18282005062541962
2024-04-19,Train,1.0,42.61899314691232,-1.370599699859616,2024-04-18,Train,82.33766126321122,-1.2855343824681202,2024-04-25,False,Completed,0.002,0.13506303601168046,0.13506303601168046,0.13306303601168046,0.018517409028212306,0.018210642931248078,0.11454562698346815,0.11485239308043238
2024-04-22,Train,1.0,85.86519490685015,-1.4961988624700564,2024-04-19,Train,42.61899314691232,-1.370599699859616,2024-04-26,False,Completed,0.002,0.1444405970321474,0.1444405970321474,0.1424405970321474,0.04675916842209249,0.04646438088068594,0.09568142861005491,0.09597621615146146
2024-04-26,Train,-1.0,13.585196426781325,1.2320106008356873,2024-04-25,Train,23.17661256269236,1.4760261388066516,2024-05-02,False,Completed,0.002,0.05776238250158072,-0.05776238250158072,-0.059762382501580724,0.011866841365633318,0.011557656878052214,-0.047895541135947406,-0.04820472562352851
2024-10-15,Test,1.0,77.83923317886205,-1.6093136847538003,2024-10-14,Test,86.65178997086849,-1.7623985032497902,2024-10-21,False,Completed,0.002,-0.0014144805320941423,-0.0014144805320941423,-0.0034144805320941423,0.005172515536264521,0.00493262610190337,-0.008586996068358664,-0.008347106633997512
2024-10-16,Test,1.0,66.27697769623634,-1.2802190227595716,2024-10-15,Test,77.83923317886205,-1.6093136847538003,2024-10-22,False,Completed,0.002,-0.007286997541303464,-0.007286997541303464,-0.009286997541303466,0.015665257242560404,0.0154305603628897,-0.02495225478386387,-0.024717557904193166
2024-10-17,Test,1.0,53.079987634324425,-1.2202932754825668,2024-10-16,Test,66.27697769623634,-1.2802190227595716,2024-10-23,False,Completed,0.002,-0.03469935332324503,-0.03469935332324503,-0.03669935332324503,-0.0043726695169127305,-0.0046166528844172605,-0.0323266838063323,-0.03208270043882777
2024-10-28,Test,-1.0,55.6883815976914,2.5831045577596665,2024-10-25,Test,71.12430609990673,2.878592394049384,2024-11-01,False,Completed,0.002,-0.07507710736124429,0.07507710736124429,0.07307710736124429,-0.014004511382721962,-0.01424738168021411,0.059072595978522324,0.058829725681030176
2024-10-29,Test,-1.0,34.18833060035836,2.447001766469546,2024-10-28,Test,55.6883815976914,2.5831045577596665,2024-11-04,False,Completed,0.002,-0.0749305272027383,0.0749305272027383,0.0729305272027383,-0.02174110809367724,-0.021986209000286916,0.05118941910906105,0.05094431820245138
2024-11-11,Test,-1.0,76.93708005580882,3.8177161724823128,2024-11-08,Test,88.94938898240063,2.4307068469001814,2024-11-15,False,Completed,0.002,-0.0015565655877591844,0.0015565655877591844,-0.00044343441224081563,-0.024436256872036433,-0.024678762542499455,-0.02487969128427725,-0.025122196954740272
2024-11-12,Test,-1.0,78.67289690223474,2.877182050602958,2024-11-11,Test,76.93708005580882,3.8177161724823128,2024-11-18,False,Completed,0.002,-0.03217145647321451,0.03217145647321451,0.03017145647321451,-0.019611650508978395,-0.01985177725679843,0.010559805964236113,0.010319679216416078
2025-03-25,Test,-1.0,24.39042033174382,2.6089919720870287,2025-03-24,Test,40.50314249798343,1.73618802351207,2025-03-31,False,Completed,0.002,-0.06907579286064724,0.06907579286064724,0.06707579286064724,-0.032066427086113736,-0.032292345846635095,0.03500936577453351,0.03478344701401215
2025-06-10,Test,1.0,13.753649620147971,-0.7991020475262285,2025-06-09,Test,29.200522841201582,-1.4572037495128467,2025-06-16,False,Completed,0.002,0.06659543458672834,0.06659543458672834,0.06459543458672834,0.014297876082662198,0.014088144090865118,0.05029755850406614,0.05050729049586322
2025-12-17,Test,-1.0,88.46119870876706,0.8273937104553902,2025-12-16,Test,90.26378155848612,1.259915461435675,2025-12-23,False,Completed,0.002,-0.00881850102302495,0.00881850102302495,0.0068185010230249485,0.03132800454197504,0.031198458659328798,0.03814650556499999,0.038016959682353746
2025-12-19,Test,-1.0,82.1289048866187,0.5249314179506133,2025-12-18,Test,81.15404489521819,1.294472564469576,2025-12-26,False,Completed,0.002,-0.016922839146848556,0.016922839146848556,0.014922839146848554,0.042135773293371814,0.04201170431465795,0.05705861244022037,0.056934543461506504
